made,squareMeters,numberOfRooms,hasStorageRoom,hasGuestRoom,price
2007,16669,95,1,1,1676719.7
2000,84006,73,0,4,8409827.0
1993,34059,49,0,2,3412619.3
1991,36131,95,0,8,3620939.1
2007,8201,18,1,6,826967.7
1994,38398,84,0,8,3842545.4
2014,38833,10,1,8,3884619.4
2013,41488,22,0,3,4151539.3
2005,5205,2,0,0,521650.5
2013,45066,28,1,0,4508367.3
1999,63875,53,0,6,6394774.9
2020,25052,88,0,10,2515214.0
2016,51457,64,1,4,5150600.6
2015,84396,64,1,2,8449333.5
2016,64920,98,1,6,6501809.6
2015,9166,4,1,8,922847.5
2017,85558,48,1,0,8568781.7
2019,87267,75,1,4,8731940.9
1999,96091,100,0,6,9615021.9
2008,38003,98,0,2,3803545.8
2015,83120,97,0,1,8318749.5
2003,20468,100,0,0,2049846.3
2018,75152,91,0,2,7518709.8
2013,32688,9,1,7,3274057.3
1994,45868,72,0,10,4600708.4
2018,73900,69,1,4,7394635.8
2007,16000,41,0,6,1606948.7
1993,1423,59,0,8,149234.3
1995,29951,37,0,0,3002371.5
1999,40231,84,1,0,4030226.9
2003,59517,38,1,6,5958698.3
2003,98969,26,1,5,9902968.3
2021,99177,49,1,3,9919217.1
2009,89157,46,1,4,8920282.9
1991,67429,60,1,1,6749654.1
2020,38431,57,0,8,3848467.0
1994,72495,76,1,0,7259025.4
1997,85362,77,1,4,8541211.7
1990,28597,93,0,8,2863386.0
2001,13687,36,0,5,1376329.1
2020,50479,3,0,5,5057657.0
1995,98121,38,0,2,9817494.5
1999,57736,16,0,2,5775940.9
1992,30356,40,0,8,3039209.2
1998,21141,38,1,10,2126023.8
2009,98122,34,1,5,9813433.9
2000,34746,12,0,4,3478332.0
2012,17297,43,1,2,1738971.2
1993,80324,47,0,9,8039714.3
2019,15815,13,0,4,1585031.9
2017,1066,5,1,5,114605.7
1995,79275,95,1,3,7930383.5
1997,20658,7,1,10,2076936.7
1993,8687,88,1,3,877525.3
1991,69638,42,1,6,6977654.1
2001,94036,18,0,10,9406163.1
2018,60889,72,0,7,6091341.8
1992,11680,21,1,6,1169431.2
2010,11458,96,0,6,1154040.0
1997,20397,67,1,3,2042985.7
1999,83206,34,0,9,8326302.9
1997,8951,11,0,1,904889.7
2001,22854,41,1,0,2292467.1
2015,46042,52,0,5,4605791.5
2017,93506,20,1,8,9356982.7
2010,58748,76,0,2,5875981.0
2010,715,71,1,8,74252.0
1993,55327,22,1,8,5540589.3
2000,63631,84,1,4,6369055.0
2018,77915,99,0,4,7793915.8
1999,91804,5,1,8,9182083.9
1994,57295,95,1,7,5731510.4
1998,61057,65,1,6,6114671.8
1991,91626,83,1,8,9169068.1
1990,29356,96,1,3,2948071.0
2003,27134,62,1,3,2715604.3
2017,1682,65,1,4,174918.7
2021,98868,41,1,3,9892300.1
1996,23898,62,0,1,2399286.6
2001,83110,43,1,7,8321631.1
2021,71154,67,0,8,7122699.1
2003,90841,48,0,9,9086177.3
2010,68416,87,0,6,6846709.0
1993,47585,95,0,0,4759724.3
2006,28452,79,1,2,2850377.6
1996,15630,78,1,0,1565985.6
2017,65900,36,0,1,6605894.7
2000,21600,94,1,3,2166421.0
1992,74704,31,0,9,7472587.2
2017,87291,78,1,2,8739254.7
2012,96687,65,1,6,9673884.2
2019,60567,65,1,0,6071330.9
1990,4872,41,0,6,489455.0
2009,9157,48,0,8,922102.9
2019,65217,26,0,10,6531999.9
1990,87346,56,1,4,8743241.0
2001,47701,26,0,3,4773352.1
2001,14766,50,0,4,1488265.1
1998,94841,19,1,6,9498026.8
2002,59318,92,1,5,5939275.2
1997,1796,28,0,4,180265.7
2020,96526,36,1,0,9661068.0
2006,62876,36,1,4,6288117.6
2012,59558,43,1,5,5967916.2
2014,97008,89,1,0,9703551.4
1997,66746,6,1,3,6678869.7
2002,25776,36,1,10,2582235.2
2018,96195,97,0,3,9626665.8
1995,4805,47,1,0,486824.5
1990,23045,21,0,0,2312202.0
2017,95441,70,1,3,9554998.7
2009,28381,34,1,2,2847241.9
2003,15731,34,0,5,1582940.3
2019,18966,58,0,0,1902151.9
2019,24393,46,1,2,2449464.9
2013,53339,67,0,3,5335546.3
2004,44053,17,0,3,4413295.4
1994,70898,98,1,3,7091863.4
2019,84483,41,1,6,8452134.9
2013,35716,24,0,10,3574932.3
2013,64693,64,0,7,6471378.3
2006,32593,40,1,2,3265750.6
2020,1607,63,0,7,173112.0
1991,39484,74,1,9,3954971.1
2015,32458,28,1,7,3253846.5
2004,72243,64,1,3,7229477.4
1996,20624,44,0,4,2070369.6
2005,7443,38,0,1,748338.5
2020,78382,41,1,6,7840062.0
2010,70614,15,0,2,7075926.0
2016,32235,59,0,10,3225143.6
2015,2523,12,1,1,260710.5
2019,87864,55,0,9,8790481.9
1991,18316,97,1,9,1832673.1
2011,94471,30,0,3,9454072.1
2004,60704,96,1,2,6080655.4
2013,54020,4,1,4,5406334.3
2017,59612,37,1,2,5967739.7
1990,56467,63,0,0,5649094.0
2015,65625,55,1,10,6567597.5
2014,41570,76,1,10,4167932.4
1992,44862,99,0,3,4493882.2
2001,47212,37,0,9,4734236.1
2004,2840,17,1,10,288797.4
2004,40465,85,1,0,4052600.4
1995,17191,80,1,9,1728829.5
2016,56480,85,0,1,5653048.6
2021,70503,78,0,4,7051701.1
1993,4885,100,0,6,493693.3
2006,58263,65,1,3,5840294.6
2002,47647,52,1,10,4768169.2
1998,57916,51,1,1,5792783.8
2005,6396,71,0,9,643620.5
1995,41972,18,0,0,4206464.5
2007,94311,11,0,7,9439790.7
1996,10714,41,1,6,1075982.6
2010,11259,26,1,7,1134964.0
2003,3534,16,0,0,359850.3
1991,52680,10,0,0,5274696.1
2007,62711,60,0,6,6272944.7
2010,19268,12,1,3,1938014.0
2019,36119,39,1,3,3620813.9
2003,28394,53,0,2,2840816.3
2007,20392,33,1,2,2046763.7
2014,7259,25,0,5,735079.4
1993,28183,81,1,10,2821593.3
1996,92188,14,0,0,9227140.6
1995,29815,28,0,0,2989048.5
2003,50219,96,1,0,5025975.3
2002,1722,56,1,2,182838.2
2013,70399,14,0,4,7048784.3
2021,28790,52,0,4,2883447.1
2000,92962,7,0,3,9304587.0
2010,34245,2,1,5,3430728.0
1996,54677,64,1,2,5477618.6
2000,74227,84,0,5,7427853.0
2009,94939,46,1,7,9503765.9
2010,48884,58,0,9,4895277.0
2016,10638,39,1,10,1066200.6
1994,90315,61,1,7,9044477.4
2013,17633,28,1,2,1767487.3
2017,63242,45,1,1,6327623.7
1991,79344,46,1,7,7945562.1
2005,72093,48,0,9,7223902.5
2001,13378,59,0,7,1342476.1
2020,47019,35,1,6,4706162.0
2002,34666,75,1,6,3477313.2
1992,93509,28,1,6,9361261.2
2015,13583,42,0,10,1364589.5
1999,19649,11,1,2,1970018.9
1997,141,16,0,4,22670.7
1993,22821,64,1,2,2289134.3
2021,533,76,0,9,65465.1
2015,67020,71,0,1,6711051.5
2021,49094,30,1,8,4916616.1
2019,25269,88,1,1,2530193.9
2003,71989,41,1,4,7204744.3
2011,73180,1,1,10,7325717.1
1998,18926,58,1,8,1908217.8
2018,6492,76,0,9,652565.8
2002,98045,4,1,0,9814193.2
1998,51589,83,1,5,5167451.8
1992,24390,75,0,1,2446317.2
2001,75890,10,0,8,7597786.1
1994,29220,9,0,0,2929116.4
2001,72433,57,1,0,7250644.1
1993,57467,98,1,2,5749361.3
1997,81482,76,0,6,8153070.7
2009,61346,69,1,10,6141452.9
1992,80915,23,0,0,8104297.2
2000,65479,74,0,10,6552454.0
2017,48302,22,1,1,4833604.7
1990,76690,21,1,8,7682267.0
2002,14447,39,0,6,1448447.2
1994,24213,31,0,5,2431969.4
2007,1843,30,0,5,189919.7
2007,78183,65,1,4,7829898.7
2018,99323,35,1,3,9939399.8
2007,67491,21,1,0,6750826.7
2016,2588,82,0,8,267798.6
1999,76635,6,1,1,7669791.9
1997,45070,100,1,0,4510977.7
2003,62381,58,1,6,6243323.3
1992,98543,2,0,7,9860222.2
2009,13972,39,1,2,1397748.9
1992,71567,70,0,4,7166917.2
1996,36804,99,1,6,3681839.6
1995,21297,71,0,4,2136801.5
2012,9950,1,0,4,1000736.2
2007,3661,50,0,7,372556.7
2016,88102,51,1,9,8821018.6
2015,72596,91,1,0,7262781.5
2015,70763,4,0,9,7082373.5
1995,12002,58,1,1,1203664.5
2011,26146,34,1,7,2627462.1
1990,13716,62,0,10,1382883.0
2020,23281,32,1,3,2339782.0
2019,3824,45,0,0,386574.9
2021,56086,3,0,1,5615576.1
1999,19014,67,0,6,1912984.9
2004,80808,59,0,5,8085990.4
1991,83602,5,1,5,8365162.1
2018,99767,27,1,2,9985836.8
2002,60675,32,0,6,6075733.2
2007,20210,2,0,4,2029228.7
1991,28694,82,1,3,2870499.1
1991,45521,53,0,7,4554205.1
2016,55727,46,0,2,5574845.6
2006,17307,20,0,2,1740869.6
2004,86474,98,0,7,8649993.4
2013,6012,53,0,4,607323.3
2010,6617,51,0,10,663333.0
1993,34061,43,1,9,3407529.3
2006,12881,12,1,0,1293712.6
2002,48458,82,0,6,4851198.2
2006,89618,49,1,0,8969519.6
1999,10369,30,0,10,1044857.9
1993,21865,24,1,3,2191960.3
2013,30817,48,1,3,3086005.3
1998,8808,85,0,5,888730.8
1990,16006,69,1,3,1610901.0
2002,70517,37,1,5,7052408.2
2021,55592,68,1,0,5564877.1
2015,10978,17,1,6,1103882.5
1996,94388,7,0,8,9446167.6
2006,18041,90,1,3,1817658.6
2013,18220,91,1,2,1833031.3
1994,39342,7,1,2,3946165.4
2008,66570,59,1,6,6657976.8
1994,34592,100,1,5,3465076.4
1996,38700,25,1,8,3880396.6
2017,32060,25,0,8,3211741.7
2001,8305,86,0,4,838488.1
2018,40080,50,0,0,4011225.8
2004,89335,66,0,8,8938823.4
1991,78546,92,1,4,7864949.1
1998,50066,63,0,1,5015729.8
2013,37008,61,0,7,3708694.3
2008,32876,98,0,8,3299047.8
1990,98266,14,0,9,9838529.0
2002,53665,66,1,8,5379979.2
2016,33469,98,0,8,3362757.6
2013,42578,49,1,6,4264812.3
2019,64329,25,1,5,6436473.9
2012,29512,96,0,9,2955396.2
2013,241,78,0,7,29643.3
2006,32709,47,0,5,3284181.6
2021,29271,70,0,6,2938810.1
1996,15542,19,0,5,1556824.6
2014,94951,52,1,3,9498811.4
2008,12296,54,1,0,1233872.8
2001,42390,17,1,0,4245306.1
2021,2157,22,0,9,222104.1
2013,70576,66,1,9,7061024.3
2005,22232,24,1,8,2230267.5
2007,31368,78,1,0,3142605.7
2000,2713,76,1,1,273858.0
2017,40939,60,0,8,4097363.7
2007,84892,59,1,3,8492982.7
2002,43332,60,0,4,4336691.2
1990,39445,100,0,10,3947777.0
2004,82032,78,1,8,8209534.4
1998,813,45,0,7,84647.8
2010,43432,44,0,6,4347238.0
2015,80988,34,1,10,8104253.5
2021,99444,68,0,5,9947284.1
2008,37618,57,1,9,3766350.8
2002,63973,18,1,10,6405935.2
2018,99107,54,1,3,9916550.8
2012,71519,12,1,2,7156303.2
2011,91841,77,0,0,9185367.1
2019,28467,98,1,10,2855561.9
2002,77075,52,0,4,7713855.2
2001,91776,26,1,4,9184100.1
2017,69948,45,0,3,7006951.7
2021,68593,3,1,7,6867934.1
1995,56774,50,0,3,5682955.5
1991,84577,63,0,0,8467175.1
2002,78835,77,0,1,7887862.2
2003,59073,82,1,2,5909662.3
2012,6704,83,1,1,682123.2
1992,20968,48,1,6,2100783.2
2021,64244,20,0,6,6435074.1
1993,54133,1,0,2,5426671.3
1995,90842,60,0,5,9092168.5
2021,51780,83,0,4,5184160.1
2008,38722,91,0,2,3876450.8
1996,51127,85,0,5,5119947.6
1990,31802,100,1,10,3184469.0
2016,26770,8,1,2,2687139.6
2019,63839,58,0,6,6389327.9
1996,56181,76,0,7,5630006.6
2012,91757,82,0,6,9182239.2
2010,54200,51,0,3,5423195.0
2011,29788,61,0,1,2983377.1
1999,29180,7,1,10,2923248.9
1996,30630,62,1,4,3072463.6
2007,81114,23,0,9,8118084.7
1998,96016,48,1,1,9605401.8
2014,8977,53,1,5,905963.4
2006,92508,60,1,4,9257332.6
2000,38804,18,0,1,3885083.0
2003,34830,92,1,2,3488181.3
2016,48540,42,1,4,4856286.6
2009,25680,51,1,2,2573981.9
2021,73224,66,0,3,7330502.1
2006,29589,45,0,1,2973362.6
1994,96469,21,0,8,9651382.4
1994,35039,19,1,3,3511457.4
1997,99592,47,1,3,9963329.7
2018,70433,41,0,4,7045037.8
1998,73644,18,0,4,7365392.8
2006,77211,47,1,4,7725844.6
2019,36429,8,0,0,3651244.9
1990,90334,44,1,4,9037622.0
2013,51993,59,0,6,5208507.3
2013,44476,27,0,2,4450503.3
2020,31661,52,1,8,3168722.0
2020,68275,93,1,6,6833270.0
2016,85429,60,0,8,8553293.6
1992,90162,71,1,1,9023922.2
2014,81619,82,0,10,8173020.4
2009,65324,7,0,7,6538401.9
2021,4368,85,1,6,443641.1
2009,24525,35,0,6,2461959.9
2013,20949,5,0,10,2102983.3
2017,23609,14,0,3,2364571.7
2009,68084,35,0,9,6809686.9
2007,73406,72,0,2,7351988.7
2016,50638,65,1,6,5068736.6
1992,5457,32,1,2,547357.2
2005,73337,30,0,5,7337758.5
2003,95339,87,1,3,9535650.3
2009,63237,8,0,5,6330589.9
1998,30831,27,1,8,3084723.8
1993,57897,21,0,6,5801637.3
1995,87418,73,1,10,8743030.5
2015,20640,17,1,0,2073310.5
1998,35634,77,0,1,3568972.8
2019,87156,49,0,9,8722474.9
1991,80556,1,1,7,8062244.1
2019,70942,36,0,3,7102693.9
2012,38688,76,0,2,3877141.2
2012,83937,30,0,1,8396191.2
1996,92655,54,1,4,9267281.6
1995,35110,28,0,0,3526172.5
2021,61208,51,1,10,6126371.1
1993,47781,49,1,4,4779776.3
2003,23737,25,0,0,2380599.3
2017,83460,34,1,10,8347291.7
2017,55736,64,0,2,5582770.7
1991,15429,27,0,0,1550188.1
2006,74290,38,0,10,7433059.6
2019,85256,68,1,0,8530096.9
2013,9380,11,0,1,945451.3
2014,13414,59,0,5,1350225.4
2006,91716,7,1,4,9184104.6
1994,95828,54,1,4,9589468.4
2007,98478,7,0,2,9852730.7
2011,70874,99,0,2,7097321.1
2003,78217,78,0,2,7828401.3
2017,81101,65,1,4,8118370.7
2009,46883,49,1,3,4691844.9
2019,69319,38,0,8,6936067.9
2010,95288,45,1,2,9543817.0
2008,50589,75,0,9,5061508.8
1994,65155,69,0,3,6521547.4
2000,6049,99,0,8,608869.0
2001,25386,30,1,8,2543209.1
1991,1270,53,0,6,131117.1
1994,88561,37,1,1,8860454.4
2009,71676,13,1,6,7178514.9
2014,82016,15,0,9,8211272.4
2001,21698,75,0,2,2179801.1
2019,476,14,1,6,57103.9
2020,16114,98,1,1,1620468.0
2014,55707,7,1,3,5573001.4
2010,53633,48,0,6,5370339.0
2003,29578,2,0,9,2959100.3
2009,51757,95,1,6,5178222.9
1994,80386,41,0,3,8045146.4
1995,60136,32,1,4,6020434.5
2010,15850,99,0,1,1596900.0
2000,29362,2,1,9,2940727.0
2005,60366,51,0,2,6042370.5
1994,9167,32,1,7,923577.4
1997,18586,93,1,8,1862622.7
1993,69443,27,1,1,6947198.3
1993,21015,37,0,9,2107213.3
2016,79337,83,1,5,7940161.6
2014,84947,54,1,1,8498951.4
1990,99665,16,1,9,9976093.0
2017,25493,31,1,3,2555724.7
2008,50580,57,1,1,5072667.8
2015,71040,40,0,6,7110801.5
1993,63320,3,0,8,6338701.3
1994,50465,68,1,3,5051447.4
2013,65919,40,1,1,6596228.3
1992,76489,43,1,8,7655928.2
2009,50093,89,0,10,5013597.9
1998,50118,80,0,0,5016630.8
2012,25309,28,0,9,2535294.2
2020,98191,17,0,4,9828436.0
2004,1607,10,1,9,167249.4
2004,4410,37,1,7,444238.4
2018,2374,41,1,5,249562.8
2018,94990,23,0,9,9504433.8
2016,18281,9,0,4,1840231.6
2021,64879,80,1,1,6491104.1
1990,54812,88,0,7,5482093.0
2005,605,29,0,2,71250.5
2010,27253,19,1,1,2736783.0
1998,17357,42,0,4,1738079.8
2016,54097,26,0,5,5416865.6
1990,95281,22,0,1,9533000.0
2004,69440,90,0,2,6950509.4
2012,44395,1,1,3,4443692.2
2010,48270,60,0,6,4838349.0
2008,30572,24,1,2,3058110.8
1992,63719,35,1,0,6375632.2
2006,45827,61,1,6,4590725.6
2020,70488,61,0,10,7054483.0
2003,79822,67,1,2,7987847.3
1997,27171,63,1,9,2724534.7
1992,58330,58,1,10,5837640.2
1997,87826,10,1,2,8790247.7
1993,49389,13,1,6,4940959.3
1994,56931,60,1,5,5704458.4
1990,66503,73,0,1,6655758.0
2021,88112,77,0,6,8813820.1
2005,43587,83,1,3,4360172.5
1992,86152,44,0,1,8619787.2
1992,81573,98,0,10,8163076.2
2007,72599,43,1,0,7262443.7
1993,43876,42,1,3,4388329.3
1994,10040,100,0,8,1010790.4
1991,40177,38,1,10,4019219.1
2019,21703,86,0,6,2183649.9
2020,57236,87,1,1,5730262.0
2009,17863,1,1,5,1795013.9
2005,85272,89,1,3,8531221.5
2016,91931,38,0,4,9197803.6
2017,29411,26,1,1,2948395.7
2014,37163,4,0,1,3718311.4
2016,26440,41,0,5,2651410.6
2003,9868,89,0,3,992632.3
1995,55250,31,0,4,5534691.5
1990,1121,9,1,8,126775.0
2012,26528,31,1,2,2660108.2
2019,18362,100,1,6,1842236.9
2008,40581,99,0,10,4068225.8
2010,89084,34,1,1,8911966.0
2012,90643,77,0,1,9074993.2
2005,70868,70,0,1,7096273.5
2000,17252,90,0,10,1726850.0
2019,45647,17,0,6,4580938.9
1992,64654,34,0,3,6471114.2
2017,87668,58,1,6,8769343.7
1990,97688,60,1,0,9775672.0
2002,5468,75,1,9,553320.2
2006,63509,72,0,0,6356517.6
2001,98262,60,1,0,9827936.1
2020,67735,36,0,2,6777979.0
2018,19728,97,1,2,1977828.8
2011,39191,71,1,10,3921295.1
2018,34585,34,1,6,3471454.8
2000,56666,13,1,9,5671002.0
1993,4920,96,0,2,498937.3
2007,23043,69,0,10,2309235.7
2010,86042,64,0,8,8610684.0
1990,84978,63,0,9,8508647.0
2016,66940,95,1,7,6700142.6
2000,69592,68,0,7,6964235.0
2009,46558,52,0,10,4663394.9
2016,30925,18,0,3,3104280.6
2016,39975,97,0,8,4005185.6
2014,8808,9,1,7,887645.4
2005,7131,88,1,4,719772.5
1991,49063,35,0,7,4909260.1
2014,79093,89,0,9,7915505.4
2002,95157,76,1,6,9527400.2
2010,43412,3,1,3,4352882.0
1995,23127,72,0,8,2327821.5
2003,63397,52,0,3,6344621.3
2004,6078,67,1,0,614702.4
2015,70367,63,1,0,7043100.5
2020,31471,3,1,5,3149214.0
2004,84503,53,0,4,8455991.4
2004,25661,18,1,2,2567320.4
1999,65823,2,1,10,6587187.9
2006,40351,20,1,5,4037323.6
1999,65816,36,1,6,6590874.9
1997,9897,83,1,3,997040.7
2021,74556,36,1,0,7461430.1
2000,77324,66,1,0,7746689.0
2017,19054,27,0,3,1915949.7
1995,19467,61,1,2,1953949.5
1992,23917,57,1,6,2396597.2
2008,27581,56,0,9,2763880.8
1998,7021,94,1,1,707889.8
2007,86898,10,0,5,8700597.7
2004,35752,37,0,5,3584645.4
2004,80254,5,1,4,8032718.4
1990,43729,50,0,3,4386441.0
1991,14296,27,1,10,1438655.1
2002,60263,14,0,6,6027298.2
1993,56348,39,0,4,5645570.3
1999,20462,4,0,9,2051424.9
2009,35966,4,0,3,3600448.9
1997,23790,55,0,6,2387891.7
1994,62563,35,1,7,6268203.4
1997,74693,98,1,8,7476380.7
2001,69815,68,1,8,6994868.1
2000,31372,70,0,1,3141888.0
2015,47377,91,1,4,4742430.5
1991,21748,5,0,10,2180962.1
2020,74938,28,0,6,7496677.0
2014,84747,97,0,7,8483566.4
2004,52843,75,1,3,5291087.4
2014,94638,50,1,10,9465407.4
1998,57035,7,1,7,5710846.8
2004,10031,44,0,0,1007605.4
1995,87362,50,0,7,8743936.5
1998,50571,39,1,0,5063431.8
2005,69918,32,1,2,6995676.5
2009,42217,74,0,5,4228208.9
1997,76907,10,1,10,7694726.7
2020,15500,92,0,7,1554517.0
2012,53304,47,0,2,5337897.2
2000,1973,1,0,9,201809.0
1991,91112,51,0,1,9121414.1
1990,76204,60,1,7,7628150.0
2013,97471,74,0,6,9756243.3
1995,88887,9,1,7,8897254.5
2017,38490,14,0,3,3853460.7
2008,72450,63,0,9,7250244.8
2018,88367,5,0,7,8837449.8
2020,30782,99,0,9,3082971.0
1991,5033,58,1,8,508665.1
2014,26519,33,1,1,2656599.4
2007,65934,29,1,0,6597942.7
1992,98106,98,0,1,9811465.2
2006,6577,9,0,4,662852.6
2011,18250,16,1,2,1829113.1
1992,40783,48,0,10,4086725.2
1994,33156,15,0,3,3323470.4
2006,47523,89,0,10,4760526.6
2016,79604,30,0,2,7965563.6
2004,95762,64,1,2,9583086.4
1995,31317,91,1,5,3142581.5
2014,788,53,1,8,82042.4
2012,41188,30,1,1,4122637.2
2010,62282,35,1,10,6229623.0
2004,45979,46,0,6,4600373.4
1998,35828,77,1,1,3583375.8
2007,84540,21,0,2,8455482.7
2011,70288,78,1,7,7034567.1
1995,44681,63,0,1,4480399.5
1996,8856,96,1,3,895829.6
1998,45730,11,0,10,4583276.8
1992,59478,22,1,8,5950543.2
2007,31692,7,0,2,3172857.7
2014,58737,66,1,0,5882539.4
2017,32100,79,0,6,3213786.7
2014,67663,1,1,2,6775397.4
2016,59810,64,0,1,5991500.6
2010,86186,85,1,6,8620785.0
1990,38030,53,0,2,3803961.0
2019,48331,2,0,9,4839984.9
2016,27856,34,0,9,2795386.6
2018,70976,84,1,4,7101406.8
2014,90180,91,0,8,9023962.4
2017,54646,10,0,10,5479242.7
2003,42024,72,1,9,4205806.3
2013,8969,72,1,9,908919.3
2007,38926,58,0,6,3902208.7
1998,80419,55,1,3,8043741.8
